Days;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
1534;-0,4107;15,2973;0,08322;11,98;12,697;13,144;13,39;13,781;14,054;14,472;15,297;16,191;16,701;17,06;17,612;17,983;18,717;20,075;11,1;12,061;13,022;14,095;15,297;16,649;18,176;19,907;21,639
1535;-0,4114;15,2969;0,08323;11,979;12,697;13,144;13,389;13,781;14,054;14,471;15,297;16,191;16,701;17,06;17,612;17,984;18,717;20,076;11,1;12,061;13,022;14,095;15,297;16,649;18,176;19,908;21,64
1536;-0,4122;15,2964;0,08324;11,979;12,696;13,143;13,389;13,78;14,053;14,471;15,296;16,19;16,701;17,06;17,611;17,984;18,717;20,076;11,099;12,06;13,021;14,094;15,296;16,648;18,176;19,908;21,641
1537;-0,4129;15,2959;0,08325;11,978;12,696;13,143;13,388;13,779;14,053;14,47;15,296;16,19;16,701;17,059;17,611;17,983;18,717;20,077;11,099;12,06;13,021;14,094;15,296;16,648;18,176;19,909;21,642
1538;-0,4137;15,2955;0,08326;11,978;12,695;13,142;13,388;13,779;14,052;14,47;15,296;16,19;16,7;17,059;17,611;17,984;18,717;20,078;11,099;12,06;13,02;14,093;15,296;16,648;18,176;19,91;21,644
1539;-0,4144;15,295;0,08327;11,977;12,695;13,142;13,387;13,778;14,052;14,469;15,295;16,189;16,7;17,059;17,611;17,983;18,718;20,078;11,098;12,059;13,02;14,093;15,295;16,648;18,176;19,91;21,645
1540;-0,4151;15,2946;0,08329;11,977;12,694;13,141;13,387;13,778;14,051;14,468;15,295;16,189;16,7;17,059;17,611;17,984;18,718;20,08;11,097;12,058;13,019;14,092;15,295;16,648;18,176;19,912;21,647
1541;-0,4159;15,2941;0,0833;11,976;12,694;13,14;13,386;13,777;14,05;14,468;15,294;16,189;16,7;17,059;17,611;17,984;18,718;20,08;11,097;12,058;13,019;14,092;15,294;16,647;18,176;19,912;21,648
1542;-0,4166;15,2937;0,08331;11,976;12,693;13,14;13,386;13,777;14,05;14,467;15,294;16,188;16,699;17,059;17,611;17,984;18,719;20,081;11,097;12,057;13,018;14,091;15,294;16,647;18,176;19,913;21,649
1543;-0,4174;15,2932;0,08332;11,975;12,693;13,139;13,385;13,776;14,049;14,467;15,293;16,188;16,699;17,058;17,611;17,984;18,719;20,082;11,096;12,057;13,018;14,091;15,293;16,647;18,176;19,913;21,65
1544;-0,4182;15,2928;0,08333;11,975;12,692;13,139;13,385;13,776;14,049;14,466;15,293;16,188;16,699;17,058;17,611;17,984;18,719;20,082;11,096;12,057;13,017;14,09;15,293;16,646;18,177;19,914;21,652
1545;-0,4189;15,2923;0,08335;11,974;12,691;13,138;13,384;13,775;14,048;14,466;15,292;16,188;16,699;17,058;17,611;17,984;18,72;20,084;11,095;12,056;13,016;14,089;15,292;16,646;18,177;19,915;21,654
1546;-0,4197;15,2919;0,08336;11,974;12,691;13,138;13,383;13,774;14,048;14,465;15,292;16,187;16,699;17,058;17,611;17,984;18,72;20,084;11,095;12,055;13,016;14,089;15,292;16,646;18,177;19,916;21,655
1547;-0,4204;15,2914;0,08337;11,973;12,69;13,137;13,383;13,774;14,047;14,465;15,291;16,187;16,698;17,058;17,611;17,984;18,72;20,085;11,094;12,055;13,015;14,088;15,291;16,646;18,177;19,917;21,656
1548;-0,4212;15,291;0,08338;11,973;12,69;13,137;13,382;13,773;14,047;14,464;15,291;16,187;16,698;17,058;17,611;17,984;18,72;20,086;11,094;12,055;13,015;14,088;15,291;16,646;18,177;19,917;21,657
1549;-0,422;15,2905;0,08339;11,972;12,689;13,136;13,382;13,773;14,046;14,464;15,291;16,186;16,698;17,057;17,611;17,984;18,721;20,086;11,094;12,054;13,014;14,087;15,29;16,645;18,177;19,918;21,658
1550;-0,4227;15,2901;0,08341;11,972;12,689;13,135;13,381;13,772;14,045;14,463;15,29;16,186;16,698;17,058;17,611;17,985;18,721;20,088;11,093;12,053;13,014;14,087;15,29;16,645;18,178;19,919;21,661
1551;-0,4235;15,2896;0,08342;11,971;12,688;13,135;13,38;13,772;14,045;14,463;15,29;16,186;16,697;17,057;17,611;17,985;18,722;20,089;11,093;12,053;13,013;14,086;15,29;16,645;18,178;19,92;21,662
1552;-0,4243;15,2892;0,08343;11,971;12,688;13,134;13,38;13,771;14,044;14,462;15,289;16,185;16,697;17,057;17,611;17,985;18,722;20,089;11,092;12,053;13,013;14,086;15,289;16,645;18,178;19,921;21,663
1553;-0,425;15,2888;0,08344;11,971;12,687;13,134;13,38;13,771;14,044;14,462;15,289;16,185;16,697;17,057;17,611;17,985;18,722;20,09;11,092;12,052;13,012;14,085;15,289;16,644;18,178;19,921;21,664
1554;-0,4258;15,2883;0,08345;11,97;12,687;13,133;13,379;13,77;14,043;14,461;15,288;16,185;16,697;17,057;17,611;17,985;18,722;20,091;11,092;12,052;13,012;14,085;15,288;16,644;18,178;19,922;21,665
1555;-0,4266;15,2879;0,08347;11,969;12,686;13,133;13,378;13,77;14,043;14,461;15,288;16,184;16,697;17,057;17,611;17,985;18,723;20,092;11,091;12,051;13,011;14,084;15,288;16,644;18,179;19,923;21,668
