Days;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
314;-0,317;16,5774;0,0885;12,753;13,58;14,095;14,378;14,829;15,144;15,626;16,577;17,607;18,195;18,607;19,242;19,669;20,511;22,068;11,739;12,847;13,955;15,192;16,577;18,134;19,89;21,876;23,862
315;-0,3181;16,5731;0,08849;12,751;13,577;14,092;14,375;14,826;15,141;15,622;16,573;17,602;18,19;18,602;19,237;19,664;20,505;22,062;11,738;12,845;13,952;15,188;16,573;18,129;19,884;21,87;23,856
316;-0,3191;16,5688;0,08848;12,748;13,574;14,089;14,372;14,822;15,137;15,618;16,569;17,598;18,185;18,597;19,231;19,659;20,5;22,057;11,736;12,842;13,949;15,184;16,569;18,125;19,879;21,865;23,851
317;-0,3201;16,5645;0,08847;12,745;13,571;14,086;14,368;14,819;15,133;15,614;16,565;17,593;18,18;18,592;19,226;19,653;20,495;22,051;11,734;12,839;13,945;15,181;16,564;18,12;19,874;21,859;23,845
318;-0,3212;16,5602;0,08846;12,743;13,568;14,082;14,365;14,815;15,129;15,61;16,56;17,589;18,175;18,587;19,221;19,648;20,489;22,046;11,732;12,837;13,942;15,177;16,56;18,115;19,869;21,854;23,839
319;-0,3222;16,5559;0,08845;12,74;13,565;14,079;14,362;14,812;15,126;15,606;16,556;17,584;18,17;18,582;19,216;19,643;20,484;22,04;11,73;12,834;13,939;15,173;16,556;18,11;19,864;21,848;23,833
320;-0,3232;16,5516;0,08843;12,738;13,563;14,076;14,359;14,808;15,122;15,602;16,552;17,579;18,165;18,577;19,211;19,637;20,478;22,034;11,728;12,832;13,936;15,17;16,552;18,105;19,858;21,842;23,826
321;-0,3242;16,5473;0,08842;12,736;13,56;14,073;14,355;14,805;15,118;15,598;16,547;17,574;18,161;18,572;19,206;19,632;20,473;22,028;11,726;12,83;13,933;15,166;16,547;18,1;19,853;21,837;23,821
322;-0,3253;16,543;0,08841;12,733;13,557;14,07;14,352;14,801;15,115;15,594;16,543;17,57;18,156;18,567;19,201;19,627;20,468;22,023;11,724;12,827;13,93;15,162;16,543;18,096;19,847;21,831;23,815
323;-0,3263;16,5387;0,0884;12,731;13,554;14,066;14,348;14,797;15,111;15,59;16,539;17,565;18,151;18,562;19,195;19,622;20,462;22,017;11,722;12,824;13,927;15,158;16,539;18,091;19,842;21,826;23,809
